batch_id,time_h,temperature_C,pH,DO_percent,C_glucose_g_L^-1,C_biomass_g_L^-1,C_product_g_L^-1
5,42.0,34.0,4.8,9.5,14.9,18.0,24.9
5,42.5,34.6,4.68,8.6,12.7,18.4,23.4
5,43.0,34.2,4.73,14.8,12.2,18.3,23.8
5,43.5,33.9,4.71,12.9,13.6,18.3,23.5
5,44.0,34.5,4.66,10.8,11.9,18.2,23.8
5,44.5,34.5,4.74,14.7,12.1,17.8,24.3
5,45.0,34.1,4.68,12.0,11.6,17.7,23.8
5,45.5,34.4,4.8,6.6,13.3,17.9,24.6
5,46.0,34.1,4.72,6.5,9.5,18.4,24.5
5,46.5,34.2,4.71,9.3,10.1,18.4,24.8
5,47.0,34.2,4.72,8.4,11.3,17.6,25.5
5,47.5,34.2,4.72,8.8,11.6,17.5,24.0
5,48.0,34.3,4.7,6.5,9.1,18.5,24.3
5,48.5,34.3,4.72,11.7,11.1,18.4,24.3
5,49.0,34.1,4.68,7.1,9.2,17.8,24.4
5,49.5,34.3,4.69,9.8,8.7,18.0,24.8
5,50.0,34.1,4.74,10.3,8.6,18.0,24.9
5,50.5,34.3,4.61,6.0,9.4,18.3,24.4
5,51.0,34.2,4.67,8.2,9.3,17.9,25.3
5,51.5,34.3,4.71,10.0,7.7,18.2,24.5
5,52.0,34.6,4.73,9.6,8.6,18.1,24.6
5,52.5,34.2,4.69,8.0,7.8,18.1,24.2
5,53.0,34.0,4.72,7.2,6.8,18.3,25.0
5,53.5,34.7,4.69,6.4,9.5,18.0,25.1
5,54.0,34.4,4.62,8.6,6.7,17.6,24.7
